Heloderma	Elgaria
LOC_00019168	rna-XM_063147178.1, rna-XM_063147179.1, rna-XM_063147177.1, rna-XM_063147174.1, rna-XM_063147176.1
LOC_00019168	rna-XM_063147181.1, rna-XM_063147182.1, rna-XM_063147187.1, rna-XM_063147190.1
LOC_00019168	rna-XM_063147186.1, rna-XM_063147189.1, rna-XM_063147185.1, rna-XM_063147183.1, rna-XM_063147180.1, rna-XM_063147184.1, rna-XM_063147188.1, rna-XM_063147192.1
LOC_00019236	rna-XM_063147117.1, rna-XM_063147114.1, rna-XM_063147115.1, rna-XM_063147116.1, rna-XM_063147118.1, rna-XM_063147119.1
LOC_00019069	rna-XM_063146994.1
LOC_00019076	rna-XM_063147034.1
LOC_00019076	rna-XM_063147035.1
LOC_00019218	rna-XM_063147021.1, rna-XM_063147020.1, rna-XM_063147023.1, rna-XM_063147022.1
LOC_00019355	rna-XM_063147388.1, rna-XM_063147389.1, rna-XM_063147390.1, rna-XM_063147391.1, rna-XM_063147393.1, rna-XM_063147392.1
LOC_00019090	rna-XM_063146928.1
LOC_00019090	rna-XM_063146927.1
LOC_00019157	rna-XM_063146987.1
LOC_00019342	rna-XM_063146922.1, rna-XM_063146920.1, rna-XM_063146918.1, rna-XM_063146919.1
LOC_00019358	rna-XM_063147399.1
LOC_00019300	rna-XM_063147098.1, rna-XM_063147099.1, rna-XM_063147100.1
LOC_00019370	rna-XM_063147380.1, rna-XM_063147381.1, rna-XM_063147382.1, rna-XM_063147383.1, rna-XM_063147385.1, rna-XM_063147384.1
LOC_00019184	rna-XM_063146970.1, rna-XM_063146972.1, rna-XM_063146974.1, rna-XM_063146973.1
LOC_00019298	rna-XM_063147154.1, rna-XM_063147156.1, rna-XM_063147155.1, rna-XM_063147151.1, rna-XM_063147152.1
LOC_00019094	rna-XM_063147059.1
LOC_00019130	rna-XM_063146886.1
LOC_00019092	rna-XM_063147054.1
LOC_00019112	rna-XM_063147027.1, rna-XM_063147028.1
LOC_00019276	rna-XM_063147356.1
LOC_00019243	rna-XM_063147090.1
LOC_00019161	rna-XM_063147351.1, rna-XM_063147352.1
LOC_00019256	rna-XM_063147138.1, rna-XM_063147140.1, rna-XM_063147139.1, rna-XM_063147141.1, rna-XM_063147137.1
LOC_00019131	rna-XM_063147079.1, rna-XM_063147080.1
LOC_00019085	rna-XM_063147068.1
LOC_00019122	rna-XM_063146924.1, rna-XM_063146925.1, rna-XM_063146923.1
LOC_00019207	rna-XM_063146913.1
LOC_00019183	rna-XM_063146962.1
LOC_00019078	rna-XM_063147039.1
LOC_00019239	rna-XM_063146929.1, rna-XM_063146930.1, rna-XM_063146931.1
LOC_00019219	rna-XM_063147219.1, rna-XM_063147220.1, rna-XM_063147218.1
LOC_00019219	rna-XM_063147223.1, rna-XM_063147222.1, rna-XM_063147221.1
LOC_00019211	rna-XM_063147016.1
LOC_00019211	rna-XM_063147017.1
LOC_00019166	rna-XM_063147204.1
LOC_00019289	rna-XM_063146949.1
LOC_00019297	rna-XM_063147149.1, rna-XM_063147148.1
LOC_00019301	rna-XM_063147094.1, rna-XM_063147095.1, rna-XM_063147096.1
LOC_00019336	rna-XM_063147128.1, rna-XM_063147130.1, rna-XM_063147129.1, rna-XM_063147131.1
LOC_00019374	rna-XM_063147228.1, rna-XM_063147226.1
LOC_00019264	rna-XM_063147230.1, rna-XM_063147231.1
LOC_00019206	rna-XM_063147262.1
LOC_00019111	rna-XM_063147058.1
LOC_00019306	rna-XM_063147350.1
LOC_00019329	rna-XM_063146976.1
LOC_00019353	rna-XM_063147237.1
LOC_00019120	rna-XM_063147105.1
LOC_00019114	rna-XM_063147061.1, rna-XM_063147060.1
LOC_00019175	rna-XM_063147193.1, rna-XM_063147195.1, rna-XM_063147194.1
LOC_00019127	rna-XM_063146885.1
LOC_00019278	rna-XM_063146914.1, rna-XM_063146915.1
LOC_00019364	rna-XM_063147386.1
LOC_00019100	rna-XM_063147272.1
LOC_00019262	rna-XM_063147363.1
LOC_00019285	rna-XM_063147084.1
LOC_00019296	rna-XM_063146937.1, rna-XM_063146938.1
LOC_00019373	rna-XM_063146956.1
LOC_00019083	rna-XM_063147214.1
LOC_00019174	rna-XM_063147201.1, rna-XM_063147202.1
LOC_00019325	rna-XM_063147273.1, rna-XM_063147274.1
LOC_00019367	rna-XM_063147368.1
LOC_00019197	rna-XM_063147252.1
LOC_00019162	rna-XM_063147280.1
LOC_00019284	rna-XM_063147353.1
LOC_00019335	rna-XM_063147142.1
LOC_00019378	rna-XM_063146870.1
LOC_00019282	rna-XM_063147081.1
LOC_00019132	rna-XM_063146900.1
LOC_00019196	rna-XM_063147255.1
LOC_00019292	rna-XM_063147150.1
LOC_00019360	rna-XM_063147041.1
LOC_00019135	rna-XM_063147008.1
LOC_00019203	rna-XM_063147025.1
LOC_00019331	rna-XM_063147078.1
LOC_00019212	rna-XM_063147018.1
LOC_00019204	rna-XM_063147253.1
LOC_00019375	rna-XM_063147110.1
LOC_00019368	rna-XM_063147397.1, rna-XM_063147398.1
LOC_00019362	rna-XM_063147396.1
LOC_00019295	rna-XM_063146945.1
LOC_00019299	rna-XM_063146916.1
LOC_00019307	rna-XM_063147267.1
LOC_00019361	rna-XM_063146948.1, rna-XM_063142020.1
LOC_00019116	rna-XM_063147062.1
LOC_00019175	rna-XM_063147196.1
LOC_00019285	rna-XM_063147086.1
LOC_00019305	rna-XM_063146869.1
LOC_00019327	rna-XM_063147270.1
LOC_00019369	rna-XM_063147394.1
LOC_00019356	rna-XM_063147375.1
LOC_00019143	rna-XM_063147103.1
LOC_00019204	rna-XM_063147254.1
LOC_00019169	rna-XM_063147323.1
LOC_00019285	rna-XM_063147085.1
LOC_00019332	rna-XM_063146883.1
LOC_00019334	rna-XM_063147236.1
LOC_00019359	rna-XM_063147373.1
LOC_00019354	rna-XM_063147379.1
LOC_00019225	rna-XM_063147210.1
LOC_00019350	rna-XM_063147395.1
LOC_00019165	rna-XM_063146944.1
LOC_00019130	rna-XM_063146901.1
LOC_00019173	rna-XM_063147327.1
LOC_00019351	rna-XM_063146979.1
LOC_00019365	rna-XM_063147369.1
LOC_00019351	rna-XM_063146980.1
LOC_00019083	rna-XM_063147213.1
