pair	dN	dS	omega
LOCW_00021289__LOC_00019264	0.0061	0.1816	0.0337
LOCW_00021291__LOC_00019239	0.0688	0.2544	0.2706
LOCW_00021292__LOC_00019342	0.0228	0.1455	0.1570
LOCW_00021295__LOC_00019212	0.0052	0.0857	0.0606
LOCW_00021296__LOC_00019218	0.0181	0.0928	0.1952
LOCW_00021297__LOC_00019219	0.0196	0.1484	0.1321
LOCW_00021298__LOC_00019256	0.0263	0.1890	0.1394
LOCW_00021300__LOC_00019236	0.0225	0.1671	0.1346
LOCW_00021305__LOC_00019276	0.0238	0.2932	0.0810
LOCW_00021310__LOC_00019225	0.0272	0.1302	0.2089
LOCW_00021312__LOC_00019243	0.0538	0.2651	0.2031
LOCW_00021314__LOC_00019262	0.0311	0.2022	0.1536
LOCW_00021315__LOC_00019278	0.0119	0.0546	0.2181
LOCW_00021317__LOC_00019282	0.0358	0.1239	0.2886
LOCW_00021318__LOC_00019284	0.0037	0.1421	0.0258
LOCW_00021319__LOC_00019285	0.0141	0.0953	0.1483
LOCW_00021321__LOC_00019289	0.0775	0.1342	0.5778
LOCW_00021322__LOC_00019292	0.0164	0.0892	0.1842
LOCW_00021323__LOC_00019295	0.0459	0.1480	0.3098
LOCW_00021324__LOC_00019296	0.0942	0.3367	0.2799
LOCW_00021325__LOC_00019297	0.0271	0.1071	0.2527
LOCW_00021328__LOC_00019298	0.0056	0.1259	0.0444
LOCW_00021329__LOC_00019299	0.0422	0.1280	0.3293
LOCW_00021330__LOC_00019300	0.0246	0.1081	0.2275
LOCW_00021331__LOC_00019301	0.0308	0.1556	0.1980
LOCW_00021334__LOC_00019305	0.0077	0.1401	0.0551
LOCW_00021335__LOC_00019306	0.0361	0.1463	0.2470
LOCW_00021336__LOC_00019307	0.0181	0.1346	0.1346
LOCW_00021337__LOC_00019350	-0.0000	0.0090	0.0000
LOCW_00021338__LOC_00019351	0.0081	0.0192	0.4211
LOCW_00021340__LOC_00019353	0.0016	0.0279	0.0568
LOCW_00021342__LOC_00019354	0.0037	0.0307	0.1197
LOCW_00021343__LOC_00019355	0.0046	0.0080	0.5773
LOCW_00021344__LOC_00019356	0.0041	0.0503	0.0811
LOCW_00021345__LOC_00019358	0.0059	0.0415	0.1422
LOCW_00021346__LOC_00019359	0.0020	0.0484	0.0418
LOCW_00021347__LOC_00019360	0.0129	0.0474	0.2723
LOCW_00021348__LOC_00019361	-0.0000	-0.0000	99.0000
LOCW_00021349__LOC_00019362	0.0108	0.0381	0.2837
LOCW_00021350__LOC_00019364	0.0022	0.0562	0.0389
LOCW_00021351__LOC_00019365	0.0089	0.0511	0.1748
LOCW_00021352__LOC_00019367	0.0119	0.0238	0.5016
LOCW_00021353__LOC_00019368	0.0056	0.0209	0.2674
LOCW_00021354__LOC_00019369	0.0032	0.0666	0.0473
LOCW_00021355__LOC_00019370	0.0112	0.0648	0.1722
LOCW_00021356__LOC_00019373	0.0143	0.0769	0.1858
LOCW_00021357__LOC_00019374	0.0098	0.0758	0.1290
LOCW_00021358__LOC_00019375	0.0028	0.0396	0.0712
LOCW_00021361__LOC_00019377	0.0074	0.0062	1.2002
LOCW_00021362__LOC_00019378	0.0109	0.0611	0.1776
LOCW_00021363__LOC_00019211	-0.0000	0.2143	0.0000
LOCW_00021366__LOC_00019196	0.0313	0.1438	0.2179
LOCW_00021367__LOC_00019197	0.0453	0.1572	0.2881
LOCW_00021368__LOC_00019203	0.0512	0.1892	0.2708
LOCW_00021369__LOC_00019206	0.0472	0.0988	0.4774
LOCW_00021370__LOC_00019207	0.0437	0.1294	0.3379
LOCW_00021371__LOC_00019204	0.0033	0.0888	0.0373
LOCW_00021372__LOC_00019077	0.0417	0.0670	0.6217
LOCW_00021373__LOC_00019184	0.0714	0.1538	0.4640
LOCW_00021374__LOC_00019183	0.0109	0.1671	0.0650
LOCW_00021375__LOC_00019175	0.0158	0.1046	0.1507
LOCW_00021380__LOC_00019174	0.0085	0.1379	0.0619
LOCW_00021381__LOC_00019173	0.0072	0.0647	0.1121
LOCW_00021382__LOC_00019169	0.0008	0.0392	0.0216
LOCW_00021383__LOC_00019168	0.0099	0.0935	0.1061
LOCW_00021385__LOC_00019083	0.0287	0.1904	0.1505
LOCW_00021387__LOC_00019085	0.0780	0.1439	0.5419
LOCW_00021389__LOC_00019076	0.0290	0.1324	0.2194
LOCW_00021392__LOC_00019078	0.0243	0.0807	0.3007
LOCW_00021393__LOC_00019094	0.0655	0.1817	0.3606
LOCW_00021394__LOC_00019092	0.0577	0.1492	0.3865
LOCW_00021395__LOC_00019090	0.0232	0.2895	0.0802
LOCW_00021397__LOC_00019069	0.0438	0.1066	0.4111
LOCW_00021401__LOC_00019332	0.0035	0.0380	0.0914
LOCW_00021402__LOC_00019331	0.0732	0.2340	0.3128
LOCW_00021403__LOC_00019329	0.0143	0.2335	0.0611
