Heloderma	Shinisaurus
LOC_00019069	rna-AC1QDN_018813-R1
LOC_00019076	rna-AC1QDN_018644-R1
LOC_00019218	rna-AC1QDN_018440-R2, rna-AC1QDN_018440-R1
LOC_00019090	rna-AC1QDN_018718-R5, rna-AC1QDN_018718-R6
LOC_00019090	rna-AC1QDN_018718-R1, rna-AC1QDN_018718-R2, rna-AC1QDN_018718-R3, rna-AC1QDN_018718-R4
LOC_00019300	rna-AC1QDN_019105-R1, rna-AC1QDN_019105-R2, rna-AC1QDN_019105-R3, rna-AC1QDN_019105-R4
LOC_00019184	rna-AC1QDN_018382-R1, rna-AC1QDN_018382-R2, rna-AC1QDN_018382-R3, rna-AC1QDN_018382-R4, rna-AC1QDN_018382-R5
LOC_00019094	rna-AC1QDN_019824-R2, rna-AC1QDN_019824-R1
LOC_00019130	rna-AC1QDN_018801-R1
LOC_00019083	rna-AC1QDN_018719-R1
LOC_00019092	rna-AC1QDN_018708-R3, rna-AC1QDN_018722-R1, rna-AC1QDN_018708-R2, rna-AC1QDN_018708-R1
LOC_00019112	rna-AC1QDN_019032-R1
LOC_00019131	rna-AC1QDN_019453-R2
LOC_00019085	rna-AC1QDN_019682-R1
LOC_00019122	rna-AC1QDN_018803-R3, rna-AC1QDN_018803-R1, rna-AC1QDN_018803-R2, rna-AC1QDN_018803-R4
LOC_00019207	rna-AC1QDN_018726-R2, rna-AC1QDN_018726-R1
LOC_00019183	rna-AC1QDN_019245-R4, rna-AC1QDN_019245-R8, rna-AC1QDN_019245-R1, rna-AC1QDN_019245-R3, rna-AC1QDN_019245-R7, rna-AC1QDN_019245-R6, rna-AC1QDN_019245-R5, rna-AC1QDN_019245-R2
LOC_00019078	rna-AC1QDN_018563-R2, rna-AC1QDN_018563-R3, rna-AC1QDN_018563-R1
LOC_00019219	rna-AC1QDN_018062-R1
LOC_00019289	rna-AC1QDN_019325-R2, rna-AC1QDN_019325-R1, rna-AC1QDN_019325-R3
LOC_00019301	rna-AC1QDN_019475-R2, rna-AC1QDN_019475-R1
LOC_00019206	rna-AC1QDN_020186-R2
LOC_00019206	rna-AC1QDN_020186-R1, rna-AC1QDN_020186-R3
LOC_00019111	rna-AC1QDN_019924-R1
LOC_00019306	rna-AC1QDN_019484-R1
LOC_00019140	rna-AC1QDN_019653-R1
LOC_00019329	rna-AC1QDN_019488-R1
LOC_00019120	rna-AC1QDN_018800-R1
LOC_00019114	rna-AC1QDN_018645-R1, rna-AC1QDN_018645-R2
LOC_00019127	rna-AC1QDN_018802-R1
LOC_00019278	rna-AC1QDN_018064-R2, rna-AC1QDN_018064-R1
LOC_00019100	rna-AC1QDN_019471-R4, rna-AC1QDN_019471-R3, rna-AC1QDN_019471-R2, rna-AC1QDN_019471-R1
LOC_00019285	rna-AC1QDN_019051-R1
LOC_00019083	rna-AC1QDN_018561-R2, rna-AC1QDN_018561-R1
LOC_00019325	rna-AC1QDN_019473-R1
LOC_00019197	rna-AC1QDN_018176-R1
LOC_00019284	rna-AC1QDN_018164-R1
LOC_00019284	rna-AC1QDN_018164-R2
LOC_00019282	rna-AC1QDN_019683-R1
LOC_00019132	rna-AC1QDN_019814-R1
LOC_00019196	rna-AC1QDN_019707-R1
LOC_00019083	rna-AC1QDN_019320-R1, rna-AC1QDN_019320-R3, rna-AC1QDN_019320-R2
LOC_00019135	rna-AC1QDN_020235-R1
LOC_00019203	rna-AC1QDN_019559-R1
LOC_00019204	rna-AC1QDN_019561-R1
LOC_00019299	rna-AC1QDN_019988-R1
LOC_00019307	rna-AC1QDN_019485-R1
LOC_00019116	rna-AC1QDN_018646-R1
LOC_00019285	rna-AC1QDN_019051-R3
LOC_00019305	rna-AC1QDN_019476-R1
LOC_00019327	rna-AC1QDN_020058-R1
LOC_00019143	rna-AC1QDN_018423-R1
LOC_00019204	rna-AC1QDN_019561-R2
LOC_00019285	rna-AC1QDN_019051-R2
LOC_00019225	rna-AC1QDN_018069-R1
LOC_00019300	rna-AC1QDN_019105-R5
