pair	dN	dS	omega
LOC_00008121__LOCZ_00008121	0.0044	0.0566	0.0777
LOC_00008416__LOCZ_00020637	0.0137	0.0675	0.2030
LOC_00009757__LOCZ_00012321	0.0988	0.1107	0.8929
LOC_00019035__LOCZ_00019035	-0.0000	-0.0000	99.0000
LOC_00019051__LOCZ_00019051	0.1005	1.4808	0.0679
LOC_00019078__LOCZ_00019078	0.0265	0.1465	0.1805
LOC_00019083__LOCZ_00019083	0.0333	0.2108	0.1580
LOC_00019092__LOCZ_00019092	0.0696	0.1429	0.4874
LOC_00019094__LOCZ_00019094	0.0721	0.3918	0.1839
LOC_00019100__LOCZ_00019100	0.0153	0.1781	0.0861
LOC_00019111__LOCZ_00019111	0.0020	0.0777	0.0261
LOC_00019112__LOCZ_00019112	0.0170	0.1029	0.1656
LOC_00019114__LOCZ_00019114	0.0131	0.0868	0.1507
LOC_00019116__LOCZ_00019116	0.0148	0.1548	0.0956
LOC_00019120__LOCZ_00019120	-0.0000	0.1092	0.0000
LOC_00019130__LOCZ_00019130	0.0237	0.2137	0.1110
LOC_00019140__LOCZ_00019140	0.0231	0.1715	0.1345
LOC_00019156__LOCZ_00019156	0.0358	0.1201	0.2982
LOC_00019157__LOCZ_00019157	0.0243	0.1024	0.2372
LOC_00019162__LOCZ_00019162	0.0027	0.0613	0.0437
LOC_00019168__LOCZ_00019168	0.0352	0.2090	0.1684
LOC_00019169__LOCZ_00019169	-0.0000	0.0067	0.0000
LOC_00019183__LOCZ_00019183	0.0113	0.2449	0.0459
LOC_00019201__LOCZ_00019201	0.0132	0.0699	0.1886
LOC_00019203__LOCZ_00019203	0.0417	0.2120	0.1965
LOC_00019204__LOCZ_00019204	0.0111	0.0936	0.1182
LOC_00019207__LOCZ_00019207	0.0424	0.1421	0.2986
LOC_00019209__LOCZ_00019209	0.0356	0.1690	0.2110
LOC_00019211__LOCZ_00019211	0.0025	0.0820	0.0300
LOC_00019219__LOCZ_00019219	0.0523	0.1578	0.3313
LOC_00019231__LOCZ_00019231	0.0650	0.2856	0.2276
LOC_00019236__LOCZ_00019236	0.0148	0.0993	0.1488
LOC_00019246__LOCZ_00019246	0.0895	0.3316	0.2701
LOC_00019256__LOCZ_00019256	0.0174	0.2534	0.0688
LOC_00019264__LOCZ_00019264	0.0051	0.1542	0.0328
LOC_00019267__LOCZ_00019267	0.1368	0.3099	0.4416
LOC_00019274__LOCZ_00019274	0.0560	0.3846	0.1457
LOC_00019277__LOCZ_00019277	0.1056	0.6590	0.1603
LOC_00019282__LOCZ_00019282	0.0957	0.5498	0.1741
LOC_00019284__LOCZ_00019284	0.0271	0.1405	0.1927
LOC_00019285__LOCZ_00019285	0.0211	0.1461	0.1446
LOC_00019299__LOCZ_00019299	0.1293	0.6430	0.2010
LOC_00019301__LOCZ_00019301	0.0434	0.4574	0.0950
LOC_00019305__LOCZ_00019305	0.0543	0.7577	0.0717
LOC_00019306__LOCZ_00019306	0.0818	1.2743	0.0642
LOC_00019325__LOCZ_00019325	0.1097	0.4357	0.2517
LOC_00019329__LOCZ_00019329	0.0385	0.8126	0.0474
LOC_00019334__LOCZ_00019334	0.0113	0.5334	0.0213
LOC_00019343__LOCZ_00019343	0.0688	0.2278	0.3020
