W	W_name	W_start	W_end	Z	Z_name	Z_start	Z_end
LOCW_00021238	CDCA8: Borealin	417358	429815	LOC_00019012	CDCA8: Borealin	374768	387229
LOCW_00021239	ZNF665: Zinc finger protein 665	428278	449787	LOC_00019013	ZNF665: Zinc finger protein 665	385689	411297
LOCW_00021240	ADAMTSL5: ADAMTS-like protein 5	488026	528694	LOC_00019015	ADAMTSL5: ADAMTS-like protein 5	445456	480291
LOCW_00021241	NA	487710	520609	LOC_00019016	NA	445140	472207
LOCW_00021242	FUT3: 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	530940	531977	LOC_00019017	FUT3: 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	482537	483574
LOCW_00021243	Klhl21: Kelch-like protein 21	538504	542426	LOC_00019018	Klhl21: Kelch-like protein 21	490099	494021
LOCW_00021244	LSM7: U6 snRNA-associated Sm-like protein LSm7	542854	549646	LOC_00019019	LSM7: U6 snRNA-associated Sm-like protein LSm7	494449	500920
LOCW_00021245	SPPL2B: Signal peptide peptidase-like 2B	549808	572380	LOC_00019020	SPPL2B: Signal peptide peptidase-like 2B	501508	524083
LOCW_00021246	TMPRSS9: Transmembrane protease serine 9	587797	603990	LOC_00019021	TMPRSS9: Transmembrane protease serine 9	539502	555683
LOCW_00021247	NA	607030	609627	LOC_00019022	NA	558725	561327
LOCW_00021248	TIMM13: Mitochondrial import inner membrane translocase subunit Tim13	607818	610169	LOC_00019023	TIMM13: Mitochondrial import inner membrane translocase subunit Tim13	559513	561864
LOCW_00021249	LINGO3: Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	659900	661747	LOC_00019024	LINGO3: Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	623198	625045
LOCW_00021250	LMNB2: Lamin-B2	667605	693204	LOC_00019025	LMNB2: Lamin-B2	636110	656522
LOCW_00021251	Thop1: Thimet oligopeptidase	732329	754050	LOC_00019026	THOP1: Thimet oligopeptidase	695646	727805
LOCW_00021252	SGTA: Small glutamine-rich tetratricopeptide repeat-containing protein alpha	753130	782604	LOC_00019027	SGTA: Small glutamine-rich tetratricopeptide repeat-containing protein alpha	716535	748795
LOCW_00021253	SLC39A3: Zinc transporter ZIP3	783190	796808	LOC_00019029	SLC39A3: Zinc transporter ZIP3	749065	762682
LOCW_00021254	DIRAS1: GTP-binding protein Di-Ras1	803861	821887	LOC_00019030	DIRAS1: GTP-binding protein Di-Ras1	769763	787408
LOCW_00021255	NA	919376	921586	LOC_00019031	NA	884876	887086
LOCW_00021256	NA	940765	953040	LOC_00019032	NA	906270	918757
LOCW_00021257	GNG7: Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	859418	960709	LOC_00019033	GNG7: Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	918847	926266
LOCW_00021258	FUT3: 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	993979	1007648	LOC_00019034	FUT3: 3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	959472	973138
LOCW_00021259	GADD45B: Growth arrest and DNA damage-inducible protein GADD45 beta	1068980	1072843	LOC_00019035	GADD45B: Growth arrest and DNA damage-inducible protein GADD45 beta	1033051	1036914
LOCW_00021260	CARTPT: Cocaine- and amphetamine-regulated transcript protein	1100729	1106503	LOC_00019036	CARTPT: Cocaine- and amphetamine-regulated transcript protein	1064788	1070599
