W	W_start	W_end	Z_hit_1	Z_start_1	Z_end_1	Z_hit_1_evalue	Z_hit_1_length	Z_hit_1_reciprocal	Z_hit_2	Z_start_2	Z_end_2	Z_hit_2_evalue	Z_hit_2_length	Z_hit_2_reciprocal	autosome_hit	autosome_start	autosome_end	autosome_evalue	autosome_length	best_match	best_Z_gene	best_W_from_Z	reciprocal
LOCW_00021289	27932656	27979876	LOC_00019264	14020251	14068138	0	1126	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019264	LOCW_00021289	TRUE
LOCW_00021290	28086572	28130271	LOC_00019330	17177340	17181230	6.94e-62	118	FALSE	LOC_00019028	725067	733038	2.79e-37	171	FALSE	LOC_00013412	289218547	289258798	3.3299999999999997e-124	216	autosome	NA	NA	FALSE
LOCW_00021291	28130974	28190783	LOC_00019239	12936385	12969804	1.1900000000000001e-85	151	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019239	LOCW_00021291	TRUE
LOCW_00021292	28288063	28336153	LOC_00019342	18323305	18376625	4.339999999999999e-303	517	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019342	LOCW_00021292	TRUE
LOCW_00021295	28417528	28460045	LOC_00019212	10348023	10375821	4.5e-258	359	TRUE	LOC_00019213	10383914	10418265	2.19e-140	368	TRUE	NA	NA	NA	NA	NA	Z	LOC_00019212	LOCW_00021295	TRUE
LOCW_00021296	28486916	28519297	LOC_00019218	10500950	10524739	5.999999999999999e-126	207	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019218	LOCW_00021296	TRUE
LOCW_00021297	28541079	28667662	LOC_00019219	10540563	10637180	0	464	TRUE	LOC_00019285	15211535	15264131	1.8e-7	114	FALSE	NA	NA	NA	NA	NA	Z	LOC_00019219	LOCW_00021297	TRUE
LOCW_00021298	28701973	28745390	LOC_00019256	13690677	13737162	1.0099999999999999e-185	276	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019256	LOCW_00021298	TRUE
LOCW_00021299	28682614	28759604	LOC_00019330	17177340	17181230	1.44e-65	118	TRUE	LOC_00019028	725067	733038	2.97e-44	188	TRUE	LOC_00002057	266520782	266568912	1.38e-127	201	autosome	NA	NA	FALSE
LOCW_00021300	28829645	28952962	LOC_00019236	12800785	12907053	0	583	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Z	LOC_00019236	LOCW_00021300	TRUE
