Heloderma	Candoia
LOC_00019168	rna-XM_063290773.1, rna-XM_063290775.1, rna-XM_063290774.1, rna-XM_063290772.1
LOC_00019236	rna-XM_063290818.1, rna-XM_063290820.1, rna-XM_063290817.1, rna-XM_063290819.1, rna-XM_063290821.1, rna-XM_063290824.1, rna-XM_063290823.1, rna-XM_063290822.1, rna-XM_063290825.1
LOC_00019069	rna-XM_063290905.1, rna-XM_063290903.1, rna-XM_063290904.1
LOC_00019076	rna-XM_063290916.1
LOC_00019076	rna-XM_063290917.1
LOC_00019218	rna-XM_063290907.1, rna-XM_063290908.1
LOC_00019355	rna-XM_063290627.1, rna-XM_063290631.1, rna-XM_063290625.1, rna-XM_063290624.1, rna-XM_063290626.1, rna-XM_063290630.1, rna-XM_063290628.1, rna-XM_063290629.1
LOC_00019090	rna-XM_063290968.1
LOC_00019090	rna-XM_063290967.1
LOC_00019157	rna-XM_063290784.1, rna-XM_063290782.1, rna-XM_063290783.1
LOC_00019342	rna-XM_063290671.1, rna-XM_063290670.1
LOC_00019358	rna-XM_063290633.1, rna-XM_063290632.1
LOC_00019300	rna-XM_063290867.1
LOC_00019370	rna-XM_063290648.1, rna-XM_063290649.1, rna-XM_063290650.1, rna-XM_063290651.1, rna-XM_063290647.1
LOC_00019184	rna-XM_063290727.1, rna-XM_063290726.1, rna-XM_063290728.1
LOC_00019298	rna-XM_063290863.1, rna-XM_063290862.1
LOC_00019094	rna-XM_063290950.1
LOC_00019130	rna-XM_063290991.1, rna-XM_063290990.1
LOC_00019083	rna-XM_063290922.1
LOC_00019092	rna-XM_063290934.1, rna-XM_063290933.1
LOC_00019112	rna-XM_063290957.1, rna-XM_063290956.1
LOC_00019276	rna-XM_063290876.1, rna-XM_063290873.1, rna-XM_063290874.1, rna-XM_063290875.1, rna-XM_063290877.1
LOC_00019243	rna-XM_063290801.1, rna-XM_063290800.1
LOC_00019161	rna-XM_063290776.1
LOC_00019256	rna-XM_063290828.1, rna-XM_063290829.1
LOC_00019131	rna-XM_063290996.1, rna-XM_063290997.1
LOC_00019085	rna-XM_063290931.1
LOC_00019122	rna-XM_063290977.1
LOC_00019207	rna-XM_063290897.1
LOC_00019183	rna-XM_063290729.1
LOC_00019078	rna-XM_063290918.1
LOC_00019239	rna-XM_063290815.1, rna-XM_063290816.1
LOC_00019219	rna-XM_063290900.1, rna-XM_063290901.1
LOC_00019211	rna-XM_063290913.1
LOC_00019166	rna-XM_063290763.1, rna-XM_063290764.1
LOC_00019289	rna-XM_063290859.1, rna-XM_063294230.1
LOC_00019297	rna-XM_063290881.1, rna-XM_063290879.1, rna-XM_063290878.1, rna-XM_063290880.1
LOC_00019301	rna-XM_063290868.1
LOC_00019336	rna-XM_063290680.1
LOC_00019374	rna-XM_063290653.1, rna-XM_063290652.1, rna-XM_063290654.1, rna-XM_063290656.1, rna-XM_063290655.1
LOC_00019264	rna-XM_063290830.1
LOC_00019206	rna-XM_063290707.1, rna-XM_063290706.1, rna-XM_063290708.1
LOC_00019111	rna-XM_063290948.1
LOC_00019306	rna-XM_063290885.1, rna-XM_063290886.1
LOC_00019140	rna-XM_063290992.1
LOC_00019329	rna-XM_063290688.1
LOC_00019329	rna-XM_063290689.1
LOC_00019353	rna-XM_063290620.1
LOC_00019120	rna-XM_063290975.1
LOC_00019114	rna-XM_063290955.1, rna-XM_063290953.1, rna-XM_063290954.1
LOC_00019175	rna-XM_063290752.1, rna-XM_063290753.1
LOC_00019127	rna-XM_063290983.1
LOC_00019278	rna-XM_063290849.1, rna-XM_063290850.1
LOC_00019364	rna-XM_063290641.1
LOC_00019100	rna-XM_063290938.1
LOC_00019262	rna-XM_063290848.1, rna-XM_063290847.1
LOC_00019285	rna-XM_063290854.1
LOC_00019296	rna-XM_063290860.1
LOC_00019373	rna-XM_063290659.1, rna-XM_063290658.1
LOC_00019083	rna-XM_063290924.1, rna-XM_063290925.1, rna-XM_063290923.1
LOC_00019174	rna-XM_063290757.1, rna-XM_063290759.1, rna-XM_063290758.1
LOC_00019325	rna-XM_063290692.1
LOC_00019367	rna-XM_063290643.1
LOC_00019197	rna-XM_063290744.1
LOC_00019162	rna-XM_063290770.1, rna-XM_063290771.1
LOC_00019284	rna-XM_063291069.1
LOC_00019335	rna-XM_063290686.1, rna-XM_063290687.1
LOC_00019378	rna-XM_063290663.1
LOC_00019282	rna-XM_063290852.1, rna-XM_063290853.1
LOC_00019132	rna-XM_063291000.1
LOC_00019196	rna-XM_063290747.1
LOC_00019292	rna-XM_063290884.1
LOC_00019360	rna-XM_063290638.1
LOC_00019135	rna-XM_063290995.1
LOC_00019203	rna-XM_063294114.1
LOC_00019331	rna-XM_063290683.1
LOC_00019212	rna-XM_063290898.1
LOC_00019204	rna-XM_063290702.1
LOC_00019375	rna-XM_063290672.1
LOC_00019368	rna-XM_063290645.1
LOC_00019362	rna-XM_063290640.1
LOC_00019295	rna-XM_063290861.1
LOC_00019299	rna-XM_063294266.1
LOC_00019307	rna-XM_063290887.1
LOC_00019361	rna-XM_063290639.1
LOC_00019116	rna-XM_063290943.1
LOC_00019175	rna-XM_063290755.1
LOC_00019285	rna-XM_063290856.1
LOC_00019305	rna-XM_063289289.1
LOC_00019327	rna-XM_063290685.1
LOC_00019369	rna-XM_063290644.1
LOC_00019356	rna-XM_063289105.1
LOC_00019143	rna-XM_063290999.1
LOC_00019204	rna-XM_063290703.1
LOC_00019169	rna-XM_063290756.1
LOC_00019285	rna-XM_063290855.1
LOC_00019332	rna-XM_063290682.1
LOC_00019334	rna-XM_063290681.1
LOC_00019359	rna-XM_063290637.1
LOC_00019354	rna-XM_063290623.1
LOC_00019225	rna-XM_063290790.1
LOC_00019350	rna-XM_063290613.1
LOC_00019165	rna-XM_063290765.1
LOC_00019173	rna-XM_063290761.1
LOC_00019351	rna-XM_063290614.1
LOC_00019083	rna-XM_063290926.1
LOC_00019365	rna-XM_063290642.1
LOC_00019334	rna-XM_063297938.1
