Heloderma	Thamnophis
LOC_00019168	rna-XM_032239093.1, rna-XM_032238948.1, rna-XM_032238857.1, rna-XM_032238886.1, rna-XM_032239020.1, rna-XM_032239164.1
LOC_00019236	rna-XM_032213798.1, rna-XM_032213860.1, rna-XM_032213713.1, rna-XM_032213930.1, rna-XM_032214259.1, rna-XM_032214178.1, rna-XM_032214013.1, rna-XM_032214334.1, rna-XM_032214097.1, rna-XM_032214416.1
LOC_00019069	rna-XM_032227515.1, rna-XM_032227598.1, rna-XM_032227677.1
LOC_00019076	rna-XM_032228978.1
LOC_00019218	rna-XM_032227147.1, rna-XM_032227075.1, rna-XM_032227014.1, rna-XM_032226933.1
LOC_00019355	rna-XM_032237975.1, rna-XM_032237983.1, rna-XM_032237957.1, rna-XM_032237965.1, rna-XM_032238008.1, rna-XM_032237991.1, rna-XM_032237999.1
LOC_00019090	rna-XM_032231136.1
LOC_00019090	rna-XM_032230986.1, rna-XM_032231058.1
LOC_00019157	rna-XM_032210179.1, rna-XM_032210093.1
LOC_00019342	rna-XM_032238490.1, rna-XM_032238481.1
LOC_00019358	rna-XM_032237944.1, rna-XM_032237936.1, rna-XM_032237923.1, rna-XM_032237931.1
LOC_00019300	rna-XM_032222925.1, rna-XM_032223011.1, rna-XM_032223089.1, rna-XM_032222854.1, rna-XM_032222776.1
LOC_00019370	rna-XM_032238250.1, rna-XM_032238208.1, rna-XM_032238234.1, rna-XM_032238227.1, rna-XM_032238217.1, rna-XM_032238242.1
LOC_00019184	rna-XM_032212234.1, rna-XM_032211457.1
LOC_00019298	rna-XM_032222378.1, rna-XM_032222307.1, rna-XM_032222458.1
LOC_00019094	rna-XM_032231477.1, rna-XM_032231554.1
LOC_00019130	rna-XM_032239057.1, rna-XM_032239049.1
LOC_00019083	rna-XM_032208891.1, rna-XM_032208884.1
LOC_00019092	rna-XM_032231256.1
LOC_00019276	rna-XM_032218253.1, rna-XM_032218339.1
LOC_00019243	rna-XM_032213020.1
LOC_00019161	rna-XM_032209159.1
LOC_00019256	rna-XM_032215923.1
LOC_00019131	rna-XM_032239101.1, rna-XM_032239094.1, rna-XM_032239108.1, rna-XM_032239085.1
LOC_00019085	rna-XM_032230529.1, rna-XM_032235065.1
LOC_00019207	rna-XM_032224966.1, rna-XM_032225050.1
LOC_00019183	rna-XM_032214851.1, rna-XM_032214096.1, rna-XM_032213296.1
LOC_00019078	rna-XM_032229310.1, rna-XM_032229420.1, rna-XM_032229387.1
LOC_00019239	rna-XM_032213461.1, rna-XM_032213383.1
LOC_00019211	rna-XM_032226443.1, rna-XM_032226360.1
LOC_00019166	rna-XM_032208494.1, rna-XM_032208572.1
LOC_00019289	rna-XM_032220550.1, rna-XM_032220486.1, rna-XM_032220361.1, rna-XM_032220286.1, rna-XM_032220424.1
LOC_00019297	rna-XM_032221626.1, rna-XM_032221543.1, rna-XM_032221710.1, rna-XM_032221857.1, rna-XM_032221782.1
LOC_00019301	rna-XM_032214412.1
LOC_00019336	rna-XM_032238590.1, rna-XM_032238597.1
LOC_00019374	rna-XM_032238287.1, rna-XM_032238286.1
LOC_00019264	rna-XM_032217142.1, rna-XM_032217066.1, rna-XM_032216911.1, rna-XM_032216985.1, rna-XM_032217190.1
LOC_00019206	rna-XM_032238855.1, rna-XM_032238854.1
LOC_00019076	rna-XM_032229186.1
LOC_00019111	rna-XM_032214540.1
LOC_00019306	rna-XM_032223914.1
LOC_00019140	rna-XM_032239172.1
LOC_00019329	rna-XM_032238682.1
LOC_00019120	rna-XM_032239021.1, rna-XM_032239014.1
LOC_00019114	rna-XM_032236389.1
LOC_00019175	rna-XM_032219976.1, rna-XM_032220717.1, rna-XM_032221542.1
LOC_00019127	rna-XM_032238847.1
LOC_00019278	rna-XM_032218462.1
LOC_00019364	rna-XM_032238127.1
LOC_00019100	rna-XM_032232782.1
LOC_00019262	rna-XM_032230147.1
LOC_00019285	rna-XM_032219774.1
LOC_00019296	rna-XM_032220928.1
LOC_00019373	rna-XM_032238323.1, rna-XM_032238332.1, rna-XM_032238307.1, rna-XM_032238317.1, rna-XM_032238288.1, rna-XM_032238300.1, rna-XM_032238293.1
LOC_00019083	rna-XM_032230283.1
LOC_00019174	rna-XM_032228683.1, rna-XM_032230205.1, rna-XM_032229419.1
LOC_00019325	rna-XM_032238746.1
LOC_00019367	rna-XM_032238149.1
LOC_00019197	rna-XM_032238869.1, rna-XM_032238870.1
LOC_00019162	rna-XM_032209282.1
LOC_00019284	rna-XM_032214388.1
LOC_00019335	rna-XM_032238623.1, rna-XM_032238616.1, rna-XM_032238608.1
LOC_00019378	rna-XM_032238428.1
LOC_00019282	rna-XM_032224454.1
LOC_00019132	rna-XM_032239119.1
LOC_00019196	rna-XM_032238873.1, rna-XM_032238872.1
LOC_00019292	rna-XM_032225961.1
LOC_00019360	rna-XM_032238070.1
LOC_00019135	rna-XM_032239150.1
LOC_00019203	rna-XM_032233941.1, rna-XM_032233951.1
LOC_00019331	rna-XM_032238673.1
LOC_00019212	rna-XM_032226706.1
LOC_00019204	rna-XM_032238858.1
LOC_00019375	rna-XM_032238397.1
