Heloderma	Furcifer
LOC_00019168	rna-QN063_000041-R7, rna-QN063_000041-R6, rna-QN063_000041-R4, rna-QN063_000041-R5, rna-QN063_000041-R3, rna-QN063_000041-R1, rna-QN063_000041-R2
LOC_00019236	rna-QN063_020113-R6, rna-QN063_020113-R4, rna-QN063_020113-R1, rna-QN063_020113-R2, rna-QN063_020113-R3, rna-QN063_020113-R7, rna-QN063_020113-R5
LOC_00019069	rna-QN063_020267-R2, rna-QN063_020267-R1, rna-QN063_020267-R3
LOC_00019076	rna-QN063_020265-R1, rna-QN063_020265-R2, rna-QN063_020265-R3, rna-QN063_020265-R4
LOC_00019076	rna-QN063_020265-R6
LOC_00019218	rna-QN063_019262-R1, rna-QN063_019262-R2, rna-QN063_019262-R3
LOC_00019355	rna-QN063_020119-R3, rna-QN063_020119-R4, rna-QN063_020119-R2, rna-QN063_020119-R1
LOC_00019090	rna-QN063_020116-R3
LOC_00019090	rna-QN063_020116-R1
LOC_00019157	rna-QN063_019155-R1, rna-QN063_019155-R2
LOC_00019342	rna-QN063_000320-R1, rna-QN063_000320-R2
LOC_00019358	rna-QN063_020166-R2, rna-QN063_020166-R1, rna-QN063_020166-R3
LOC_00019300	rna-QN063_019866-R2
LOC_00019300	rna-QN063_019866-R1
LOC_00019370	rna-QN063_019533-R6, rna-QN063_019533-R1, rna-QN063_019533-R2, rna-QN063_019533-R3, rna-QN063_019533-R5, rna-QN063_019533-R4
LOC_00019184	rna-QN063_020158-R2, rna-QN063_020158-R1
LOC_00019298	rna-QN063_000316-R2, rna-QN063_000316-R1
LOC_00019094	rna-QN063_019351-R1, rna-QN063_019351-R2
LOC_00019130	rna-QN063_000043-R1
LOC_00019083	rna-QN063_020264-R2, rna-QN063_020264-R1
LOC_00019092	rna-QN063_020365-R2, rna-QN063_020365-R1
LOC_00019112	rna-QN063_019254-R1, rna-QN063_019254-R2
LOC_00019276	rna-QN063_020272-R5, rna-QN063_020272-R2, rna-QN063_020272-R1, rna-QN063_020272-R3, rna-QN063_020272-R4
LOC_00019243	rna-QN063_000057-R1
LOC_00019161	rna-QN063_020159-R1
LOC_00019256	rna-QN063_019677-R1, rna-QN063_019677-R4, rna-QN063_019677-R3, rna-QN063_019677-R5, rna-QN063_019677-R2, rna-QN063_019677-R6
LOC_00019131	rna-QN063_000051-R1, rna-QN063_000051-R2, rna-QN063_000051-R3
LOC_00019085	rna-QN063_020495-R1
LOC_00019122	rna-QN063_019524-R2, rna-QN063_019524-R1
LOC_00019207	rna-QN063_019411-R1
LOC_00019183	rna-QN063_019348-R1
LOC_00019078	rna-QN063_020163-R1, rna-QN063_020163-R3, rna-QN063_020163-R2
LOC_00019239	rna-QN063_019406-R1, rna-QN063_019406-R2, rna-QN063_019406-R3
LOC_00019219	rna-QN063_020196-R1
LOC_00019211	rna-QN063_000313-R3
LOC_00019211	rna-QN063_000313-R2, rna-QN063_000313-R1, rna-QN063_000313-R4
LOC_00019166	rna-QN063_000049-R3, rna-QN063_000049-R2
LOC_00019289	rna-QN063_019584-R1, rna-QN063_019584-R2
LOC_00019297	rna-QN063_019353-R2, rna-QN063_019353-R1, rna-QN063_019353-R3, rna-QN063_019353-R4
LOC_00019301	rna-QN063_020465-R5, rna-QN063_020465-R4, rna-QN063_020465-R2, rna-QN063_020465-R1, rna-QN063_020465-R3
LOC_00019336	rna-QN063_019594-R2, rna-QN063_019594-R1, rna-QN063_019594-R3
LOC_00019374	rna-QN063_000068-R3, rna-QN063_000068-R2, rna-QN063_000068-R1
