Z	Z_start	Z_end	W_hit_1	W_start_1	W_end_1	W_hit_1_evalue	W_hit_1_length	W_hit_1_reciprocal	W_hit_2	W_start_2	W_end_2	W_hit_2_evalue	W_hit_2_length	W_hit_2_reciprocal
LOC_00019013	385689	411297	LOCW_00021309	36568260	36576182	6.49e-67	419	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019014	412862	422502	LOCW_00021309	36568260	36576182	3.429999999999999e-229	337	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019028	725067	733038	LOCW_00021299	28682614	28759604	1.69e-45	188	FALSE	LOCW_00021290	28086572	28130271	1.4599999999999998e-37	147	FALSE
LOC_00019031	884876	887086	LOCW_00021299	28682614	28759604	5.21e-4	31	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019042	1244086	1294030	LOCW_00021358	53170244	53224965	1.7900000000000002e-33	283	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019046	1551244	1558834	LOCW_00021405	63700643	63767383	6.39e-13	129	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019048	1597416	1626073	LOCW_00021400	63389267	63419405	1.64e-53	91	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019051	1712777	1716981	LOCW_00021399	60817840	60829408	7.65e-154	227	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019052	1761755	1797569	LOCW_00021304	35810906	35828435	7.9e-57	107	FALSE	LOCW_00021365	55729006	55733596	3.37e-25	327	FALSE
LOC_00019062	2038947	2072440	LOCW_00021365	55729006	55733596	1.03e-114	340	TRUE	LOCW_00021364	53545026	53564480	1.8299999999999998e-57	183	TRUE
LOC_00019063	2105840	2179646	LOCW_00021304	35810906	35828435	1.9099999999999997e-55	106	FALSE	NA	NA	NA	NA	NA	NA
LOC_00019064	2172498	2176300	LOCW_00021304	35810906	35828435	3.9800000000000004e-59	107	FALSE	LOCW_00021365	55729006	55733596	2.5e-33	91	FALSE
LOC_00019065	2206174	2261761	LOCW_00021304	35810906	35828435	1.04e-56	107	FALSE	LOCW_00021365	55729006	55733596	9.740000000000001e-27	335	FALSE
LOC_00019066	2286923	2303655	LOCW_00021304	35810906	35828435	1.2299999999999997e-55	107	FALSE	LOCW_00021365	55729006	55733596	1.04e-20	55	FALSE
LOC_00019069	2377013	2415862	LOCW_00021397	60634623	60685617	1.71e-162	389	TRUE	LOCW_00021396	60577800	60626492	2.14e-63	214	FALSE
LOC_00019070	2429432	2466096	LOCW_00021397	60634623	60685617	1.6400000000000001e-282	922	FALSE	LOCW_00021396	60577800	60626492	1.9199999999999998e-74	211	TRUE
LOC_00019076	3368876	3559036	LOCW_00021389	59649811	60016586	0	1095	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019077	3494828	3522371	LOCW_00021372	57094473	57175456	3.22e-78	133	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019078	3561646	3611573	LOCW_00021392	60055251	60092858	0	786	TRUE	NA	NA	NA	NA	NA	NA
LOC_00019083	3770631	3850622	LOCW_00021385	58985565	59092507	2.13e-254	360	TRUE	NA	NA	NA	NA	NA	NA
