W	W_start	W_end	Z_hit_1	Z_start_1	Z_end_1	Z_hit_1_evalue	Z_hit_1_length	Z_hit_1_reciprocal	Z_hit_2	Z_start_2	Z_end_2	Z_hit_2_evalue	Z_hit_2_length	Z_hit_2_reciprocal	best_Z_gene	best_W_from_Z	reciprocal
LOC_00000241	4021131	4024118	LOCZ_00020637	5397408	5398520	6.1499999999999995e-239	369	FALSE	LOCZ_00002393	4387811	4388713	4.189999999999999e-176	301	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00000341	2054199	2055629	LOCZ_00020637	5397408	5398520	3.38e-250	370	FALSE	LOCZ_00002393	4387811	4388713	1.2299999999999998e-176	291	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00000475	6473898	6475328	LOCZ_00020637	5397408	5398520	4.5699999999999996e-248	361	FALSE	LOCZ_00002393	4387811	4388713	1.0299999999999997e-215	301	TRUE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00003021	3894936	3895844	LOCZ_00002393	4387811	4388713	4.8599999999999994e-188	301	FALSE	LOCZ_00008121	5220358	5220978	9.689999999999998e-145	207	FALSE	LOCZ_00002393	LOC_00000475	FALSE
LOC_00003072	1255315	1256061	LOCZ_00020637	5397408	5398520	2.22e-149	231	FALSE	LOCZ_00008121	5220358	5220978	1.9399999999999997e-144	203	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00003689	938404	938901	LOCZ_00020637	5397408	5398520	3.5499999999999993e-106	166	FALSE	LOCZ_00002393	4387811	4388713	4.9e-105	166	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00003949	10331131	10332039	LOCZ_00002393	4387811	4388713	2.9899999999999994e-182	301	FALSE	LOCZ_00008121	5220358	5220978	3.379999999999999e-145	207	FALSE	LOCZ_00002393	LOC_00000475	FALSE
LOC_00004198	1419907	1420698	LOCZ_00020637	5397408	5398520	1.9399999999999998e-175	264	FALSE	LOCZ_00002393	4387811	4388713	3.46e-117	182	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00004198	4695764	4696555	LOCZ_00020637	5397408	5398520	1.9399999999999998e-175	264	FALSE	LOCZ_00002393	4387811	4388713	3.46e-117	182	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00004482	1923606	1925042	LOCZ_00020637	5397408	5398520	8.189999999999999e-240	361	FALSE	LOCZ_00002393	4387811	4388713	2.15e-187	301	FALSE	LOCZ_00020637	LOC_00008416	FALSE
LOC_00007790	5671492	5672238	LOCZ_00020637	5397408	5398520	2.62e-25	247	FALSE	NA	NA	NA	NA	NA	NA	LOCZ_00020637	LOC_00008416	FALSE
LOC_00008121	1328878	1329498	LOCZ_00008121	5220358	5220978	3.21e-148	207	TRUE	LOCZ_00002393	4387811	4388713	8.82e-124	207	FALSE	LOCZ_00008121	LOC_00008121	TRUE
