W	W_name	W_start	W_end	Z	Z_name	Z_start	Z_end
LOC_00008121	NA	1328878	1329498	LOCZ_00008121	NA	5220358	5220978
LOC_00008416	pol: RNA-directed DNA polymerase from mobile element jockey	7564795	7565907	LOCZ_00020637	pol: RNA-directed DNA polymerase from mobile element jockey	5397408	5398520
LOC_00009757	NA	1525000	1525420	LOCZ_00012321	NA	5810333	5810692
LOC_00019035	GADD45B: Growth arrest and DNA damage-inducible protein GADD45 beta	9620117	9621634	LOCZ_00019035	GADD45B: Growth arrest and DNA damage-inducible protein GADD45 beta	11197682	11199196
LOC_00019051	ABHD8: Protein ABHD8	4731807	4733391	LOCZ_00019051	ABHD8: Protein ABHD8	11819419	11823816
LOC_00019069	SAFB: Scaffold attachment factor B1	3619746	3687730	LOCZ_00019069	SAFB: Scaffold attachment factor B1	7123524	7152018
LOC_00019078	UHRF1: E3 ubiquitin-protein ligase UHRF1	7921462	7966910	LOCZ_00019078	UHRF1: E3 ubiquitin-protein ligase UHRF1	8119723	8144155
LOC_00019083	dpp9: Dipeptidyl peptidase 9	7057505	7130764	LOCZ_00019083	dpp9: Dipeptidyl peptidase 9	8288369	8337804
LOC_00019092	CHAF1A: Chromatin assembly factor 1 subunit A	8155534	8179674	LOCZ_00019092	CHAF1A: Chromatin assembly factor 1 subunit A	8655871	8686099
LOC_00019093	Ubxn6: UBX domain-containing protein 6	451724	452398	LOCZ_00019093	Ubxn6: UBX domain-containing protein 6	8688354	8709574
LOC_00019094	HDGFL2: Hepatoma-derived growth factor-related protein 2	3860028	3874698	LOCZ_00019094	HDGFL2: Hepatoma-derived growth factor-related protein 2	8714165	8743700
LOC_00019100	Sema6b: Semaphorin-6B	8479223	8526174	LOCZ_00019100	Sema6b: Semaphorin-6B	8908919	8968214
LOC_00019111	EEF2: Elongation factor 2	8951721	8962308	LOCZ_00019111	EEF2: Elongation factor 2	9753389	9764168
LOC_00019112	PIAS4: E3 SUMO-protein ligase PIAS4	8918004	8937358	LOCZ_00019112	PIAS4: E3 SUMO-protein ligase PIAS4	9707933	9747659
LOC_00019114	ZBTB7A: Zinc finger and BTB domain-containing protein 7A	9319938	9342562	LOCZ_00019114	ZBTB7A: Zinc finger and BTB domain-containing protein 7A	9632075	9679046
LOC_00019116	MAP2K2: Dual specificity mitogen-activated protein kinase kinase 2	3288129	3355197	LOCZ_00019116	MAP2K2: Dual specificity mitogen-activated protein kinase kinase 2	9588744	9622748
LOC_00019120	ELAVL1: ELAV-like protein 1	13750445	13774576	LOCZ_00019120	ELAVL1: ELAV-like protein 1	9830734	9847836
LOC_00019130	Hnrnpm: Heterogeneous nuclear ribonucleoprotein M	9226280	9249635	LOCZ_00019130	Hnrnpm: Heterogeneous nuclear ribonucleoprotein M	10307567	10332478
LOC_00019131	marchf2: E3 ubiquitin-protein ligase MARCHF2	9263260	9274288	LOCZ_00019131	marchf2: E3 ubiquitin-protein ligase MARCHF2	10341042	10351977
LOC_00019137	rfx2: DNA-binding protein RFX2	1911097	1911307	LOCZ_00019137	rfx2: DNA-binding protein RFX2	10489405	10521639
LOC_00019140	MLLT1: Protein ENL	5256272	5293257	LOCZ_00019140	MLLT1: Protein ENL	10591347	10618054
LOC_00019156	DOT1L: Histone-lysine N-methyltransferase, H3 lysine-79 specific	206459	283318	LOCZ_00019156	DOT1L: Histone-lysine N-methyltransferase, H3 lysine-79 specific	6806373	6914565
LOC_00019157	Ap3d1: AP-3 complex subunit delta-1	6382697	6501685	LOCZ_00019157	Ap3d1: AP-3 complex subunit delta-1	6737837	6789181
LOC_00019160	Mknk2: MAP kinase-interacting serine/threonine-protein kinase 2	418054	421172	LOCZ_00019160	Mknk2: MAP kinase-interacting serine/threonine-protein kinase 2	6626437	6665774
LOC_00019162	Csnk1g2: Casein kinase I isoform gamma-2	3724656	3753179	LOCZ_00019162	Csnk1g2: Casein kinase I isoform gamma-2	6545233	6605304
LOC_00019166	MBD3: Methyl-CpG-binding domain protein 3	6762570	6767308	LOCZ_00019166	MBD3: Methyl-CpG-binding domain protein 3	6419861	6430594
LOC_00019168	Tcf3: Transcription factor E2-alpha	6645516	6741210	LOCZ_00019168	Tcf3: Transcription factor E2-alpha	6307302	6398608
LOC_00019169	ONECUT2: One cut domain family member 2	6207984	6279358	LOCZ_00019169	ONECUT2: One cut domain family member 2	6059496	6131798
LOC_00019183	FZR1: Fizzy-related protein homolog	11123008	11139670	LOCZ_00019183	FZR1: Fizzy-related protein homolog	5669439	5693398
LOC_00019193	ARHGAP45: Rho GTPase-activating protein 45	4495871	4519812	LOCZ_00019193	ARHGAP45: Rho GTPase-activating protein 45	5315793	5375086
LOC_00019197	arid3a: AT-rich interactive domain-containing protein 3A	9495199	9539658	LOCZ_00019197	arid3a: AT-rich interactive domain-containing protein 3A	5181787	5251773
LOC_00019201	med16: Mediator of RNA polymerase II transcription subunit 16	5333009	5346876	LOCZ_00019201	med16: Mediator of RNA polymerase II transcription subunit 16	5110589	5132552
LOC_00019203	Plppr3: Phospholipid phosphatase-related protein type 3	5201386	5202688	LOCZ_00019203	Plppr3: Phospholipid phosphatase-related protein type 3	5042526	5053329
LOC_00019204	PTBP1: Polypyrimidine tract-binding protein 1	5107943	5150828	LOCZ_00019204	PTBP1: Polypyrimidine tract-binding protein 1	4987316	5017211
LOC_00019207	MIER2: Mesoderm induction early response protein 2	4995807	5018019	LOCZ_00019207	MIER2: Mesoderm induction early response protein 2	4850835	4867436
LOC_00019209	esg1: Transducin-like enhancer protein 1	4854784	4936150	LOCZ_00019209	esg1: Transducin-like enhancer protein 1	4711261	4748457
LOC_00019211	TLE5: TLE family member 5	1361297	1394611	LOCZ_00019211	TLE5: TLE family member 5	4632067	4655651
LOC_00019218	NCLN: BOS complex subunit NCLN	1464919	1476616	LOCZ_00019218	NCLN: BOS complex subunit NCLN	4463592	4481505
LOC_00019219	CELF5: CUGBP Elav-like family member 5	1495610	1590606	LOCZ_00019219	CELF5: CUGBP Elav-like family member 5	4387291	4445365
LOC_00019231	Hapln4: Hyaluronan and proteoglycan link protein 4	1492859	1493462	LOCZ_00019231	Hapln4: Hyaluronan and proteoglycan link protein 4	3560084	3571451
LOC_00019233	Sugp1: SURP and G-patch domain-containing protein 1	5414163	5432411	LOCZ_00019233	Sugp1: SURP and G-patch domain-containing protein 1	3601154	3609213
LOC_00019236	GATAD2A: Transcriptional repressor p66-alpha	5483120	5556776	LOCZ_00019236	GATAD2A: Transcriptional repressor p66-alpha	3612432	3621252
LOC_00019246	hsp30c: Heat shock protein 30C	9460693	9468584	LOCZ_00019246	hsp30c: Heat shock protein 30C	3770416	3771328
LOC_00019256	slc25a42: Mitochondrial coenzyme A transporter SLC25A42	12685695	12697802	LOCZ_00019256	slc25a42: Mitochondrial coenzyme A transporter SLC25A42	3337655	3343795
LOC_00019264	UPF1: Regulator of nonsense transcripts 1	2984406	3025023	LOCZ_00019264	UPF1: Regulator of nonsense transcripts 1	3123317	3150073
LOC_00019267	TMEM59L: Transmembrane protein 59-like	2638470	2660329	LOCZ_00019267	TMEM59L: Transmembrane protein 59-like	2972134	2986463
LOC_00019274	FSTL3: Follistatin-related protein 3	2741391	2755525	LOCZ_00019274	FSTL3: Follistatin-related protein 3	2878241	2891902
LOC_00019277	NA	2689071	2690584	LOCZ_00019277	NA	2812976	2814425
LOC_00019282	APC2: Adenomatous polyposis coli protein 2	7222191	7269933	LOCZ_00019282	APC2: Adenomatous polyposis coli protein 2	2719588	2747149
