Heloderma	Anolis
LOC_00019168	rna-XM_060785042.2, rna-XM_060785039.2, rna-XM_060785041.2, rna-XM_060785035.2, rna-XM_060785034.2, rna-XM_060785037.2, rna-XM_060785038.2, rna-XM_060785040.2, rna-XM_060785043.2
LOC_00019236	rna-XM_060785161.2, rna-XM_060785162.2, rna-XM_060785163.2, rna-XM_060785164.2
LOC_00019069	rna-XM_060784981.2, rna-XM_060784980.2, rna-XM_060784982.2
LOC_00019076	rna-XM_060784971.2
LOC_00019076	rna-XM_060784972.2
LOC_00019218	rna-XM_060784985.2, rna-XM_060784986.2, rna-XM_060784988.2, rna-XM_060784987.2
LOC_00019355	rna-XM_067473570.1, rna-XM_060784830.2, rna-XM_060784831.2, rna-XM_060784832.2
LOC_00019090	rna-XM_067473485.1
LOC_00019090	rna-XM_067473484.1
LOC_00019157	rna-XM_060785136.2, rna-XM_060785134.2, rna-XM_060785135.2, rna-XM_060785137.2
LOC_00019342	rna-XM_067473530.1, rna-XM_067473531.1, rna-XM_067473532.1, rna-XM_067473533.1
LOC_00019358	rna-XM_060784826.2, rna-XM_060784827.2
LOC_00019300	rna-XM_060784809.2, rna-XM_067473580.1
LOC_00019370	rna-XM_067473554.1, rna-XM_067473555.1, rna-XM_067473556.1, rna-XM_060785745.2
LOC_00019184	rna-XM_060785179.2
LOC_00019298	rna-XM_060784813.2, rna-XM_060784812.2, rna-XM_060784816.2
LOC_00019094	rna-XM_060784938.2
LOC_00019130	rna-XM_060786147.2
LOC_00019083	rna-XM_060784960.2, rna-XM_060784962.2, rna-XM_060784959.2, rna-XM_060784958.2
LOC_00019092	rna-XM_060784940.2, rna-XM_060784941.2
LOC_00019112	rna-XM_060786171.2, rna-XM_060786170.2
LOC_00019276	rna-XM_060785115.2
LOC_00019243	rna-XM_060785156.2
LOC_00019161	rna-XM_060785064.2
LOC_00019256	rna-XM_060785077.2, rna-XM_060785078.2, rna-XM_060785079.2, rna-XM_067473406.1
LOC_00019131	rna-XM_060786144.2, rna-XM_060786145.2, rna-XM_060786146.2
LOC_00019085	rna-XM_060784957.2
LOC_00019207	rna-XM_060785138.2, rna-XM_060785139.2, rna-XM_060785140.2
LOC_00019183	rna-XM_060785181.2, rna-XM_060785180.2
LOC_00019078	rna-XM_060784968.2, rna-XM_060784969.2, rna-XM_067473478.1
LOC_00019239	rna-XM_060785158.2, rna-XM_060785159.2
LOC_00019219	rna-XM_060784989.2, rna-XM_060784990.2
LOC_00019211	rna-XM_060785003.2
LOC_00019211	rna-XM_060785004.2
LOC_00019166	rna-XM_060785053.2, rna-XM_060785054.2
LOC_00019289	rna-XM_067473441.1, rna-XM_067473440.1, rna-XM_067473439.1
LOC_00019297	rna-XM_060784818.2
LOC_00019301	rna-XM_060785068.2, rna-XM_060785066.2
