Heloderma	Varanus
LOC_00019168	LOC_00019168
LOC_00019236	LOC_00019236
LOC_00019069	LOC_00019069
LOC_00019076	LOC_00019076
LOC_00019218	LOC_00019218
LOC_00019090	LOC_00019090
LOC_00019157	LOC_00019157
LOC_00019358	LOC_00019358
LOC_00019184	LOC_00019184
LOC_00019094	LOC_00019094
LOC_00019130	LOC_00019130
LOC_00019083	LOC_00019083
LOC_00019092	LOC_00019092
LOC_00019112	LOC_00019112
LOC_00019276	LOC_00019276
LOC_00019243	LOC_00019243
LOC_00019256	LOC_00019256
LOC_00019131	LOC_00019131
LOC_00019085	LOC_00019085
LOC_00019122	LOC_00019122
LOC_00019207	LOC_00019207
LOC_00019183	LOC_00019183
LOC_00019078	LOC_00019078
LOC_00019219	LOC_00019219
LOC_00019211	LOC_00019211
LOC_00019166	LOC_00019166
LOC_00019301	LOC_00019301
LOC_00019264	LOC_00019264
LOC_00019206	LOC_00019206
LOC_00019111	LOC_00019111
LOC_00019306	LOC_00019306
LOC_00019140	LOC_00019140
LOC_00019329	LOC_00019329
LOC_00019120	LOC_00019120
LOC_00019114	LOC_00019114
LOC_00019127	LOC_00019127
LOC_00019364	LOC_00019364
LOC_00019100	LOC_00019100
LOC_00019285	LOC_00019285
LOC_00019325	LOC_00019325
LOC_00019367	LOC_00019367
LOC_00019197	LOC_00019197
LOC_00019162	LOC_00019162
LOC_00019284	LOC_00019284
LOC_00019378	LOC_00019378
LOC_00019282	LOC_00019282
LOC_00019132	LOC_00019132
LOC_00019196	LOC_00019196
LOC_00019292	LOC_00019292
LOC_00019360	LOC_00019360
LOC_00019203	LOC_00019203
LOC_00019212	LOC_00019212
LOC_00019204	LOC_00019204
LOC_00019299	LOC_00019299
LOC_00019307	LOC_00019307
LOC_00019116	LOC_00019116
LOC_00019305	LOC_00019305
LOC_00019169	LOC_00019169
LOC_00019334	LOC_00019334
LOC_00019359	LOC_00019359
LOC_00019225	LOC_00019225
LOC_00019377	LOC_00019377
