Heloderma	Anniella
LOC_00019168	LOC_00019446
LOC_00019236	LOC_00019493
LOC_00019069	LOC_00019390
LOC_00019076	LOC_00019383
LOC_00019218	LOC_00019403
LOC_00019355	LOC_00019592
LOC_00019090	LOC_00019368
LOC_00019157	LOC_00019459
LOC_00019342	LOC_00019567
LOC_00019358	LOC_00019590
LOC_00019300	LOC_00019527
LOC_00019370	LOC_00019580
LOC_00019184	LOC_00019434
LOC_00019298	LOC_00019524
LOC_00019094	LOC_00019365
LOC_00019130	LOC_00019336
LOC_00019083	LOC_00019375
LOC_00019083	LOC_00019376
LOC_00019092	LOC_00019367
LOC_00019112	LOC_00019354
LOC_00019276	LOC_00019463
LOC_00019243	LOC_00019499
LOC_00019161	LOC_00019454
LOC_00019256	LOC_00019480
LOC_00019131	LOC_00019335
LOC_00019085	LOC_00019373
LOC_00019122	LOC_00019346
LOC_00019207	LOC_00019414
LOC_00019183	LOC_00019435
LOC_00019078	LOC_00019382
LOC_00019239	LOC_00019496
LOC_00019219	LOC_00019402
LOC_00019211	LOC_00019409
LOC_00019166	LOC_00019449
LOC_00019289	LOC_00019517
LOC_00019297	LOC_00019522
LOC_00019301	LOC_00019528
LOC_00019336	LOC_00019563
LOC_00019374	LOC_00019576
LOC_00019264	LOC_00019472
LOC_00019076	LOC_00010691
LOC_00019111	LOC_00019355
LOC_00019306	LOC_00019533
LOC_00019140	LOC_00019326
LOC_00019069	LOC_00019389
LOC_00019329	LOC_00019556
LOC_00019353	LOC_00019594
LOC_00019120	LOC_00019347
LOC_00019114	LOC_00019353
LOC_00019175	LOC_00019440
LOC_00019127	LOC_00019339
LOC_00019278	LOC_00019508
LOC_00019364	LOC_00019585
LOC_00019100	LOC_00019361
LOC_00019262	LOC_00019474
LOC_00019285	LOC_00019514
LOC_00019296	LOC_00019521
LOC_00019373	LOC_00019577
LOC_00019083	LOC_00019377
LOC_00019174	LOC_00019441
LOC_00019325	LOC_00019551
LOC_00019367	LOC_00019583
LOC_00019197	LOC_00019422
LOC_00019162	LOC_00019453
LOC_00019284	LOC_00019513
LOC_00019335	LOC_00019562
LOC_00019378	LOC_00019572
LOC_00019282	LOC_00019512
LOC_00019132	LOC_00019334
LOC_00019196	LOC_00019423
LOC_00019292	LOC_00019519
LOC_00019360	LOC_00019588
LOC_00019135	LOC_00019332
LOC_00019203	LOC_00019417
LOC_00019331	LOC_00019557
LOC_00019212	LOC_00019408
LOC_00019204	LOC_00019416
LOC_00019375	LOC_00019575
LOC_00019368	LOC_00019582
LOC_00019362	LOC_00019586
LOC_00019295	LOC_00019520
LOC_00019299	LOC_00019525
LOC_00019307	LOC_00019534
LOC_00019361	LOC_00019587
LOC_00019116	LOC_00019352
LOC_00019305	LOC_00019532
LOC_00019327	LOC_00019554
LOC_00019369	LOC_00019581
LOC_00019356	LOC_00019591
LOC_00019143	LOC_00019323
LOC_00019169	LOC_00019445
LOC_00019332	LOC_00019558
LOC_00019334	LOC_00019561
LOC_00019359	LOC_00019589
LOC_00019354	LOC_00019593
LOC_00019165	LOC_00019450
LOC_00019173	LOC_00019442
LOC_00019351	LOC_00019596
LOC_00019365	LOC_00019584
