Heloderma	Podarcis
LOC_00019168	rna-XM_053372886.1, rna-XM_053372883.1, rna-XM_053372880.1, rna-XM_053372884.1, rna-XM_053372881.1, rna-XM_053372879.1, rna-XM_053372882.1, rna-XM_053372885.1, rna-XM_053372876.1, rna-XM_053372877.1, rna-XM_053372875.1, rna-XM_053372874.1
LOC_00019236	rna-XM_053372589.1, rna-XM_053372587.1, rna-XM_053372588.1, rna-XM_053372585.1, rna-XM_053372584.1, rna-XM_053372583.1, rna-XM_053372582.1, rna-XM_053372586.1, rna-XM_053372591.1
LOC_00019069	rna-XM_053372415.1
LOC_00019076	rna-XM_053372905.1
LOC_00019076	rna-XM_053372906.1
LOC_00019218	rna-XM_053372429.1, rna-XM_053372430.1, rna-XM_053372428.1, rna-XM_053372427.1
LOC_00019355	rna-XM_053372364.1, rna-XM_053372366.1, rna-XM_053372367.1, rna-XM_053372370.1, rna-XM_053372369.1, rna-XM_053372368.1
LOC_00019090	rna-XM_053372752.1
LOC_00019090	rna-XM_053372751.1
LOC_00019157	rna-XM_053372477.1
LOC_00019342	rna-XM_053372233.1, rna-XM_053372229.1, rna-XM_053372231.1, rna-XM_053372230.1, rna-XM_053372235.1, rna-XM_053372237.1, rna-XM_053372234.1, rna-XM_053372236.1, rna-XM_053372232.1
LOC_00019358	rna-XM_053372405.1
LOC_00019300	rna-XM_053372785.1
LOC_00019300	rna-XM_053372784.1, rna-XM_053372782.1
LOC_00019370	rna-XM_053372401.1, rna-XM_053372399.1, rna-XM_053372398.1, rna-XM_053372402.1, rna-XM_053372404.1, rna-XM_053372403.1
LOC_00019184	rna-XM_053372668.1, rna-XM_053372667.1, rna-XM_053372669.1
LOC_00019298	rna-XM_053372792.1, rna-XM_053372791.1, rna-XM_053372793.1, rna-XM_053372794.1
LOC_00019094	rna-XM_053372737.1, rna-XM_053372738.1
LOC_00019130	rna-XM_053372622.1
LOC_00019083	rna-XM_053372621.1
LOC_00019092	rna-XM_053372725.1, rna-XM_053372724.1
LOC_00019112	rna-XM_053372838.1, rna-XM_053372839.1, rna-XM_053372837.1
