Z	Z_start	Z_end	W_hit_1	W_start_1	W_end_1	W_hit_1_evalue	W_hit_1_length	W_hit_1_reciprocal	W_hit_2	W_start_2	W_end_2	W_hit_2_evalue	W_hit_2_length	W_hit_2_reciprocal
LOCZ_00002393	4387811	4388713	LOC_00000475	6473898	6475328	2.76e-216	301	FALSE	LOC_00003021	3894936	3895844	3.05e-190	301	TRUE
LOCZ_00008121	5220358	5220978	LOC_00008121	1328878	1329498	1.3699999999999998e-148	207	TRUE	LOC_00003949	10331131	10332039	6.929999999999999e-146	207	FALSE
LOCZ_00012321	5810333	5810692	LOC_00009757	1525000	1525420	1.33e-36	81	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019035	11197682	11199196	LOC_00019035	9620117	9621634	2.54e-114	155	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019051	11819419	11823816	LOC_00019051	4731807	4733391	6.11e-105	180	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019069	7123524	7152018	LOC_00019069	3619746	3687730	1.44e-155	389	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019070	7162650	7193051	LOC_00019069	3619746	3687730	6.399999999999999e-223	911	FALSE	LOC_00019070	3588591	3594103	9.87e-113	492	FALSE
LOCZ_00019070	7162650	7193051	LOC_00019069	3619746	3687730	6.399999999999999e-223	911	FALSE	LOC_00019070	3636056	3687730	9.87e-113	492	FALSE
LOCZ_00019078	8119723	8144155	LOC_00019078	7921462	7966910	0	583	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019083	8288369	8337804	LOC_00019083	7057505	7130764	5.469999999999999e-235	344	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019092	8655871	8686099	LOC_00019092	8155534	8179674	0	854	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019093	8688354	8709574	LOC_00019093	451724	452398	1.18e-17	42	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019094	8714165	8743700	LOC_00019094	3860028	3874698	2.1399999999999996e-144	382	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019100	8908919	8968214	LOC_00019100	8479223	8526174	3.3999999999999995e-300	421	TRUE	NA	NA	NA	NA	NA	NA
LOCZ_00019111	9753389	9764168	LOC_00019111	8951721	8962308	0	857	TRUE	NA	NA	NA	NA	NA	NA
