W	W_name	W_start	W_end	Z	Z_name	Z_start	Z_end
LOCW_00021289	UPF1: Regulator of nonsense transcripts 1	27932656	27979876	LOC_00019264	UPF1: Regulator of nonsense transcripts 1	14020251	14068138
LOCW_00021291	TMEM259: Membralin	28130974	28190783	LOC_00019239	Tmem259: Membralin	12936385	12969804
LOCW_00021292	RANBP3: Ran-binding protein 3	28288063	28336153	LOC_00019342	RANBP3: Ran-binding protein 3	18323305	18376625
LOCW_00021295	GNA11: Guanine nucleotide-binding protein subunit alpha-11	28417528	28460045	LOC_00019212	GNA11: Guanine nucleotide-binding protein subunit alpha-11	10348023	10375821
LOCW_00021296	NCLN: BOS complex subunit NCLN	28486916	28519297	LOC_00019218	NCLN: BOS complex subunit NCLN	10500950	10524739
LOCW_00021297	CELF5: CUGBP Elav-like family member 5	28541079	28667662	LOC_00019219	CELF5: CUGBP Elav-like family member 5	10540563	10637180
LOCW_00021298	slc25a42: Mitochondrial coenzyme A transporter SLC25A42	28701973	28745390	LOC_00019256	slc25a42: Mitochondrial coenzyme A transporter SLC25A42	13690677	13737162
LOCW_00021300	GATAD2A: Transcriptional repressor p66-alpha	28829645	28952962	LOC_00019236	GATAD2A: Transcriptional repressor p66-alpha	12800785	12907053
LOCW_00021302	MYO9B: Unconventional myosin-IXb	35463983	35471529	LOC_00019345	MYO9B: Unconventional myosin-IXb	18417121	18505787
LOCW_00021304	Vmn2r26: Vomeronasal type-2 receptor 26	35810906	35828435	LOC_00019337	Vmn2r26: Vomeronasal type-2 receptor 26	17414069	17486806
LOCW_00021305	Pip5k1c: Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	35840295	35971573	LOC_00019276	Pip5k1c: Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	14493799	14564283
LOCW_00021308	KLHL26: Kelch-like protein 26	36483389	36483628	LOC_00019266	KLHL26: Kelch-like protein 26	14240560	14259530
LOCW_00021310	OAZ: Ornithine decarboxylase antizyme 1	36603557	36816002	LOC_00019225	OAZ: Ornithine decarboxylase antizyme 1	12170220	12181021
LOCW_00021312	kxd1: KxDL motif-containing protein 1	36822275	36849384	LOC_00019243	kxd1: KxDL motif-containing protein 1	13119232	13131111
LOCW_00021314	Cers1: Ceramide synthase 1	46039816	46055189	LOC_00019262	Cers1: Ceramide synthase 1	13979853	14027199
