Pair	W	W length	Z	Z length	Which one is the problem?
LOC_00019069__LOCZ_00019069	LOC_00019069	2706	LOCZ_00019069	6080	Z
LOC_00019131__LOCZ_00019131	LOC_00019131	747	LOCZ_00019131	785	Z
LOC_00019137__LOCZ_00019137	LOC_00019137	211	LOCZ_00019137	2196	W
LOC_00019160__LOCZ_00019160	LOC_00019160	2992	LOCZ_00019160	1392	W
LOC_00019166__LOCZ_00019166	LOC_00019166	689	LOCZ_00019166	813	W
LOC_00019193__LOCZ_00019193	LOC_00019193	2678	LOCZ_00019193	3492	W
LOC_00019218__LOCZ_00019218	LOC_00019218	1190	LOCZ_00019218	1704	W
LOC_00019233__LOCZ_00019233	LOC_00019233	2275	LOCZ_00019233	1209	W
LOC_00019323__LOCZ_00019323	LOC_00019323	254	LOCZ_00019323	432	W
LOC_00019378__LOCZ_00019378	LOC_00019378	638	LOCZ_00019378	2046	W
