pair	dN	dS	omega
LOCW_00021238__LOC_00019012	-0.0000	-0.0000	99.0000
LOCW_00021239__LOC_00019013	0.0005	-0.0000	99.0000
LOCW_00021240__LOC_00019015	-0.0000	-0.0000	99.0000
LOCW_00021241__LOC_00019016	-0.0000	-0.0000	99.0000
LOCW_00021242__LOC_00019017	-0.0000	-0.0000	99.0000
LOCW_00021243__LOC_00019018	-0.0000	-0.0000	99.0000
LOCW_00021244__LOC_00019019	-0.0000	-0.0000	99.0000
LOCW_00021245__LOC_00019020	-0.0000	0.0021	0.0000
LOCW_00021246__LOC_00019021	-0.0000	-0.0000	99.0000
LOCW_00021247__LOC_00019022	-0.0000	-0.0000	99.0000
LOCW_00021248__LOC_00019023	-0.0000	-0.0000	99.0000
LOCW_00021249__LOC_00019024	0.0007	-0.0000	99.0000
LOCW_00021250__LOC_00019025	0.0007	-0.0000	99.0000
LOCW_00021251__LOC_00019026	0.0006	-0.0000	99.0000
LOCW_00021252__LOC_00019027	-0.0000	0.0039	0.0000
LOCW_00021253__LOC_00019029	-0.0000	0.0070	0.0000
LOCW_00021254__LOC_00019030	-0.0000	-0.0000	99.0000
LOCW_00021255__LOC_00019031	0.0072	-0.0000	99.0000
LOCW_00021256__LOC_00019032	-0.0000	-0.0000	99.0000
LOCW_00021257__LOC_00019033	-0.0000	-0.0000	99.0000
LOCW_00021258__LOC_00019034	-0.0000	-0.0000	99.0000
LOCW_00021259__LOC_00019035	-0.0000	-0.0000	99.0000
LOCW_00021260__LOC_00019036	-0.0000	-0.0000	99.0000
LOCW_00021261__LOC_00019037	-0.0000	0.0022	0.0000
LOCW_00021262__LOC_00019038	-0.0000	-0.0000	99.0000
LOCW_00021263__LOC_00019039	-0.0000	-0.0000	99.0000
LOCW_00021264__LOC_00019040	-0.0000	0.0013	0.0000
LOCW_00021265__LOC_00019041	-0.0000	-0.0000	99.0000
LOCW_00021266__LOC_00019042	0.0004	-0.0000	99.0000
LOCW_00021268__LOC_00019043	-0.0000	-0.0000	99.0000
LOCW_00021270__LOC_00019045	-0.0000	-0.0000	99.0000
LOCW_00021271__LOC_00019046	-0.0000	-0.0000	99.0000
LOCW_00021272__LOC_00019047	-0.0000	-0.0000	99.0000
LOCW_00021273__LOC_00019048	-0.0000	-0.0000	99.0000
LOCW_00021274__LOC_00019049	-0.0000	-0.0000	99.0000
LOCW_00021275__LOC_00019050	-0.0000	-0.0000	99.0000
LOCW_00021276__LOC_00019051	-0.0000	-0.0000	99.0000
LOCW_00021278__LOC_00019053	-0.0000	-0.0000	99.0000
LOCW_00021279__LOC_00019054	-0.0000	-0.0000	99.0000
LOCW_00021280__LOC_00019055	-0.0000	-0.0000	99.0000
LOCW_00021281__LOC_00019056	-0.0000	-0.0000	99.0000
LOCW_00021282__LOC_00019057	-0.0000	-0.0000	99.0000
LOCW_00021283__LOC_00019058	0.0023	-0.0000	99.0000
LOCW_00021284__LOC_00019059	-0.0000	-0.0000	99.0000
LOCW_00021285__LOC_00019060	-0.0000	-0.0000	99.0000
LOCW_00021286__LOC_00019061	-0.0000	-0.0000	99.0000
LOCW_00021288__LOC_00019063	0.0233	0.0259	0.9027
