Heloderma_Z	Heloderma_W	Varanus_Z	Varanus_W	Anniella	Anolis	Candoia	Elgaria	Furcifer	Podarcis	Shinisaurus	Thamnophis
LOC_00019078-mRNA-1	LOCW_00021392-mRNA-1	LOCZ_00019078-mRNA-1	LOC_00019078-mRNA-1	LOC_00019382-mRNA-1	rna-XM_060784968.2	rna-XM_063290918.1	rna-XM_063147039.1	rna-QN063_020163-R1	rna-XM_053372917.1	rna-AC1QDN_018563-R2	rna-XM_032229310.1
LOC_00019083-mRNA-5	LOCW_00021385-mRNA-7	LOCZ_00019083-mRNA-4	LOC_00019083-mRNA-5	LOC_00019377-mRNA-2	rna-XM_060784963.2	rna-XM_063290923.1	rna-XM_063147213.1	rna-QN063_000058-R1	rna-XM_053372907.1	rna-AC1QDN_018561-R1	rna-XM_032230283.1
LOC_00019092-mRNA-4	LOCW_00021394-mRNA-1	LOCZ_00019092-mRNA-4	LOC_00019092-mRNA-4	LOC_00019367-mRNA-6	rna-XM_060784940.2	rna-XM_063290934.1	rna-XM_063147054.1	rna-QN063_020365-R2	rna-XM_053372725.1	rna-AC1QDN_018722-R1	rna-XM_032231256.1
LOC_00019094-mRNA-5	LOCW_00021393-mRNA-3	LOCZ_00019094-mRNA-5	LOC_00019094-mRNA-4	LOC_00019365-mRNA-6	rna-XM_060784938.2	rna-XM_063290950.1	rna-XM_063147059.1	rna-QN063_019351-R1	rna-XM_053372737.1	rna-AC1QDN_019824-R1	rna-XM_032231477.1
LOC_00019100-mRNA-1	LOCW_00021413-mRNA-1	LOCZ_00019100-mRNA-1	LOC_00019100-mRNA-1	LOC_00019361-mRNA-1	rna-XM_067473489.1	rna-XM_063290938.1	rna-XM_063147272.1	rna-QN063_020456-R1	rna-XM_053372333.1	rna-AC1QDN_019471-R1	rna-XM_032232782.1
LOC_00019111-mRNA-2	LOCW_00021417-mRNA-2	LOCZ_00019111-mRNA-2	LOC_00019111-mRNA-1	LOC_00019355-mRNA-1	rna-XM_060786172.2	rna-XM_063290948.1	rna-XM_063147058.1	rna-QN063_000250-R1	rna-XM_053372835.1	rna-AC1QDN_019924-R1	rna-XM_032214540.1
LOC_00019114-mRNA-1	LOCW_00021415-mRNA-1	LOCZ_00019114-mRNA-1	LOC_00019114-mRNA-1	LOC_00019353-mRNA-2	rna-XM_060786167.2	rna-XM_063290955.1	rna-XM_063147061.1	rna-QN063_019725-R1	rna-XM_053372644.1	rna-AC1QDN_018645-R1	rna-XM_032236389.1
LOC_00019116-mRNA-1	LOCW_00021414-mRNA-3	LOCZ_00019116-mRNA-1	LOC_00019116-mRNA-1	LOC_00019352-mRNA-3	rna-XM_060786165.2	rna-XM_063290943.1	rna-XM_063147062.1	rna-QN063_020261-R1	rna-XM_053372650.1	rna-AC1QDN_018646-R1	rna-XM_032236085.1
LOC_00019120-mRNA-3	LOCW_00021428-mRNA-1	LOCZ_00019120-mRNA-3	LOC_00019120-mRNA-3	LOC_00019347-mRNA-2	rna-XM_060784727.2	rna-XM_063290975.1	rna-XM_063147105.1	rna-QN063_019525-R1	rna-XM_053372376.1	rna-AC1QDN_018800-R1	rna-XM_032239021.1
LOC_00019130-mRNA-6	LOCW_00021424-mRNA-3	LOCZ_00019130-mRNA-6	LOC_00019130-mRNA-6	LOC_00019336-mRNA-1	rna-XM_060786147.2	rna-XM_063290991.1	rna-XM_063146886.1	rna-QN063_000043-R1	rna-XM_053372622.1	rna-AC1QDN_018801-R1	rna-XM_032239049.1
LOC_00019183-mRNA-2	LOCW_00021374-mRNA-2	LOCZ_00019183-mRNA-2	LOC_00019183-mRNA-2	LOC_00019435-mRNA-1	rna-XM_060785181.2	rna-XM_063290729.1	rna-XM_063146962.1	rna-QN063_019348-R1	rna-XM_053372662.1	rna-AC1QDN_019245-R4	rna-XM_032214851.1
LOC_00019203-mRNA-1	LOCW_00021368-mRNA-1	LOCZ_00019203-mRNA-1	LOC_00019203-mRNA-1	LOC_00019417-mRNA-1	rna-XM_060784916.2	rna-XM_063294114.1	rna-XM_063147025.1	rna-QN063_019090-R2	rna-XM_053372944.1	rna-AC1QDN_019559-R1	rna-XM_032233941.1
LOC_00019204-mRNA-1	LOCW_00021371-mRNA-1	LOCZ_00019204-mRNA-2	LOC_00019204-mRNA-2	LOC_00019416-mRNA-4	rna-XM_060784914.2	rna-XM_063290702.1	rna-XM_063147253.1	rna-QN063_000263-R1	rna-XM_053372948.1	rna-AC1QDN_019561-R1	rna-XM_032238858.1
LOC_00019207-mRNA-1	LOCW_00021370-mRNA-1	LOCZ_00019207-mRNA-1	LOC_00019207-mRNA-1	LOC_00019414-mRNA-4	rna-XM_060785138.2	rna-XM_063290897.1	rna-XM_063146913.1	rna-QN063_019411-R1	rna-XM_053372268.1	rna-AC1QDN_018726-R1	rna-XM_032224966.1
LOC_00019282-mRNA-1	LOCW_00021317-mRNA-1	LOCZ_00019282-mRNA-1	LOC_00019282-mRNA-1	LOC_00019512-mRNA-2	rna-XM_060785028.2	rna-XM_063290852.1	rna-XM_063147081.1	rna-QN063_020197-R1	rna-XM_053372688.1	rna-AC1QDN_019683-R1	rna-XM_032224454.1
LOC_00019284-mRNA-1	LOCW_00021318-mRNA-1	LOCZ_00019284-mRNA-1	LOC_00019284-mRNA-1	LOC_00019513-mRNA-2	rna-XM_060785026.2	rna-XM_063291069.1	rna-XM_063147353.1	rna-QN063_019782-R1	rna-XM_053372699.1	rna-AC1QDN_018164-R1	rna-XM_032214388.1
LOC_00019285-mRNA-1	LOCW_00021319-mRNA-4	LOCZ_00019285-mRNA-1	LOC_00019285-mRNA-1	LOC_00019514-mRNA-2	rna-XM_067473435.1	rna-XM_063290854.1	rna-XM_063147084.1	rna-QN063_019684-R1	rna-XM_053372691.1	rna-AC1QDN_019051-R1	rna-XM_032219774.1
LOC_00019299-mRNA-1	LOCW_00021329-mRNA-1	LOCZ_00019299-mRNA-1	LOC_00019299-mRNA-1	LOC_00019525-mRNA-1	rna-XM_060784807.2	rna-XM_063294266.1	rna-XM_063146916.1	rna-QN063_019779-R1	rna-XM_053372776.1	rna-AC1QDN_019988-R1	rna-XM_032214399.1
LOC_00019301-mRNA-1	LOCW_00021331-mRNA-1	LOCZ_00019301-mRNA-3	LOC_00019301-mRNA-3	LOC_00019528-mRNA-1	rna-XM_060785066.2	rna-XM_063290868.1	rna-XM_063147094.1	rna-QN063_020465-R2	rna-XM_053372770.1	rna-AC1QDN_019475-R1	rna-XM_032214412.1
LOC_00019305-mRNA-1	LOCW_00021334-mRNA-1	LOCZ_00019305-mRNA-1	LOC_00019305-mRNA-1	LOC_00019532-mRNA-1	rna-XM_060785071.2	rna-XM_063289289.1	rna-XM_063146869.1	rna-QN063_019267-R1	rna-XM_053372775.1	rna-AC1QDN_019476-R1	rna-XM_032214422.1
LOC_00019306-mRNA-3	LOCW_00021335-mRNA-10	LOCZ_00019306-mRNA-3	LOC_00019306-mRNA-1	LOC_00019533-mRNA-2	rna-XM_060785072.2	rna-XM_063290885.1	rna-XM_063147350.1	rna-QN063_019266-R1	rna-XM_053372787.1	rna-AC1QDN_019484-R1	rna-XM_032223914.1
LOC_00019325-mRNA-2	LOCW_00021405-mRNA-4	LOCZ_00019325-mRNA-2	LOC_00019325-mRNA-3	LOC_00019551-mRNA-1	rna-XM_060784899.2	rna-XM_063290692.1	rna-XM_063147273.1	rna-QN063_019354-R1	rna-XM_053372348.1	rna-AC1QDN_019473-R1	rna-XM_032238746.1
LOC_00019329-mRNA-1	LOCW_00021403-mRNA-1	LOCZ_00019329-mRNA-1	LOC_00019329-mRNA-1	LOC_00019556-mRNA-2	rna-XM_060784896.2	rna-XM_063290688.1	rna-XM_063146976.1	rna-QN063_019687-R1	rna-XM_053372714.1	rna-AC1QDN_019488-R1	rna-XM_032238682.1
